id,activity_id,name
"3,192,596",MDC1-UP#13.6.B.22.3,Delay#22.3 Contractor C February 2021 Cx Constraints
"3,192,598",MDC1-UP#13.6.B.22.4,Delay#22.4 Contractor B February 2021 Cx Constraints
"3,192,620",MDC1-UP#13.6.B.28.1,Delay#28.1 Contractor A
"3,192,627",MDC1-UP#13.6.B.28.2,Delay#28.2 Contractor D
"3,192,629",MDC1-UP#13.6.B.28.3,Delay#28.3 Contractor C February
"3,192,630",MDC1-UP#13.6.B.28.4,Delay#28.4 Contractor B
"3,192,604",MDC1-UP#13.6.B.27.1,COLO-2
"3,192,614",MDC1-UP#13.6.B.27.2,COLO-4
"3,192,609",MDC1-UP#13.6.B.27.3,COLO-3
"3,192,692",MDC1-UP#13.6.B.31.1,Delay#31.1 Contractor A
"3,192,701",MDC1-UP#13.6.B.31.2,Delay#31.2 Contractor D
"3,192,702",MDC1-UP#13.6.B.31.3,Delay#31.3 Contractor C February
"3,192,703",MDC1-UP#13.6.B.31.4,Delay#31.4 Contractor B
"3,192,706",MDC1-UP#13.6.B.31.5,Delay#31.5 Contractor E
"3,192,632",MDC1-UP#13.6.B.29.1,COLO-1
"3,192,650",MDC1-UP#13.6.B.29.2,COLO-2
"3,192,663",MDC1-UP#13.6.B.29.3,COLO-3
"3,192,676",MDC1-UP#13.6.B.29.4,COLO-4
"3,192,708",MDC1-UP#13.6.B.31.6,Delay#31.6 BAC
"3,192,718",MDC1-UP#13.6.B.33.1,Delay#33.1 Contractor A
"3,192,722",MDC1-UP#13.6.B.33.2,Delay#33.2 Contractor D
"3,192,723",MDC1-UP#13.6.B.33.3,Delay#33.3 Contractor C February
"3,192,724",MDC1-UP#13.6.B.33.4,Delay#33.4 Contractor B
"3,192,726",MDC1-UP#13.6.B.33.5,Delay#33.5 Contractor E
"3,192,725",MDC1-UP#13.6.B.33.6,Delay#33.6 BAC
"3,192,755",MDC1-UP#13.6.B.36.1,COLO-3
"3,192,772",MDC1-UP#13.6.B.36.2,COLO-4
"3,192,731",MDC1-UP#13.6.B.35.1,Admin/COLO-1
"3,192,739",MDC1-UP#13.6.B.35.2,COLO-2
"3,192,744",MDC1-UP#13.6.B.35.3,COLO-3
"3,192,749",MDC1-UP#13.6.B.35.4,COLO-4
"3,192,781",MDC1-UP#13.6.B.39.1,Delay#39.1 Contractor A
"3,192,791",MDC1-UP#13.6.B.39.3,Delay#39.2 Contractor F
"3,192,793",MDC1-UP#13.6.B.39.4,Delay#39.3 Contractor A1
"3,192,796",MDC1-UP#13.6.B.40.1,Delay#39.1 Contractor A
"3,192,803",MDC1-UP#13.6.B.40.3,Delay#39.2 Contractor F
"3,192,804",MDC1-UP#13.6.B.40.4,Delay#39.3 Contractor A1
"3,192,806",MDC1-UP#13.6.B.2.1,SE
"3,192,958",MDC1-UP#13.5.7.3.1.1,Foundations
"3,192,966",MDC1-UP#13.5.7.3.1.2,Slab on grade
"3,192,963",MDC1-UP#13.5.7.3.1.3,Structural Steel and Decking
"3,192,974",MDC1-UP#13.5.7.3.2.1,North Elevation
"3,192,975",MDC1-UP#13.5.7.3.2.2,East Elevation
"3,192,976",MDC1-UP#13.5.7.3.2.3,South Elevation
"3,192,977",MDC1-UP#13.5.7.3.2.4,West Elevation
"3,192,978",MDC1-UP#13.5.7.3.2.5,Roof
"3,193,071",MDC1-UP#13.5.3.2.3.1,Partitions
"3,193,075",MDC1-UP#13.5.3.2.3.2,Finishes
"3,193,077",MDC1-UP#13.5.3.2.3.3,Specialities
"3,193,102",MDC1-UP#13.5.3.2.4.1,Electrical
"3,193,105",MDC1-UP#13.5.3.2.4.2,Plumbing
"3,193,108",MDC1-UP#13.5.3.2.4.3,Special Systems
"3,193,110",MDC1-UP#13.5.3.2.4.4,Mechanical
"3,192,981",MDC1-UP#13.5.7.1.1.1,Foundations
"3,192,990",MDC1-UP#13.5.7.1.1.2,Slab on grade
"3,192,986",MDC1-UP#13.5.7.1.1.3,Structural Steel and Decking
"3,192,995",MDC1-UP#13.5.7.1.2.1,North Elevation
"3,192,996",MDC1-UP#13.5.7.1.2.2,East Elevation
"3,192,998",MDC1-UP#13.5.7.1.2.3,South Elevation
"3,192,999",MDC1-UP#13.5.7.1.2.4,West Elevation
"3,193,001",MDC1-UP#13.5.7.1.2.5,Roof
"3,193,116",MDC1-UP#13.5.3.1.3.1,Cell 1 Datahall
"3,193,124",MDC1-UP#13.5.3.1.3.2,Cell 3 Datahall
"3,193,131",MDC1-UP#13.5.3.1.3.3,Cell 2 Datahall
"3,193,138",MDC1-UP#13.5.3.1.3.4,Cell 4 Datahall
"3,193,145",MDC1-UP#13.5.3.1.3.5,Cell 1 Mechanical Corridor
"3,193,154",MDC1-UP#13.5.3.1.3.6,Cell 3 Mechanical Corridor
"3,193,163",MDC1-UP#13.5.3.1.3.7,Cell 2 Mechanical Corridor
"3,193,172",MDC1-UP#13.5.3.1.3.8,Cell 4 Mechanical Corridor
"3,193,182",MDC1-UP#13.5.3.1.4.1,Exterior Equipment Cell 1
"3,193,209",MDC1-UP#13.5.3.1.4.2,Exterior Equipment Cell 3
"3,193,235",MDC1-UP#13.5.3.1.4.3,Exterior Equipment Cell 2
"3,193,262",MDC1-UP#13.5.3.1.4.4,Exterior Equipment Cell 4
"3,193,288",MDC1-UP#13.5.3.1.4.5,Mechanical Corridor Cell  1
"3,193,301",MDC1-UP#13.5.3.1.4.6,Mechanical Corridor Cell  3
"3,193,313",MDC1-UP#13.5.3.1.4.7,Mechanical Corridor Cell  2
"3,193,325",MDC1-UP#13.5.3.1.4.8,Mechanical Corridor Cell  4
"3,193,338",MDC1-UP#13.5.3.1.4.9,Data Hall Cell 1
"3,193,356",MDC1-UP#13.5.3.1.4.10,Data Hall Cell 3
"3,193,374",MDC1-UP#13.5.3.1.4.11,Data Hall Cell 2
"3,194,280",MDC1-UP#13.5.2.3.6.1,Cell 1
"3,194,292",MDC1-UP#13.5.2.3.6.2,Cell 3
"3,194,304",MDC1-UP#13.5.2.3.6.3,Cell 2
"3,194,316",MDC1-UP#13.5.2.3.6.4,Cell 4
"3,193,392",MDC1-UP#13.5.3.1.4.13,Data Hall Cell 4
"3,193,006",MDC1-UP#13.5.7.4.7.1,Structure
"3,193,018",MDC1-UP#13.5.7.4.7.2,Exterior Envelope
"3,193,024",MDC1-UP#13.5.7.5.7.1,Structure
"3,193,036",MDC1-UP#13.5.7.5.7.2,Exterior Envelope
"3,193,047",MDC1-UP#13.5.7.6.7.1,Structure
"3,193,059",MDC1-UP#13.5.7.6.7.2,Exterior Envelope
"3,193,413",MDC1-UP#13.5.3.9.3.1,Cell 1 Datahall
"3,193,420",MDC1-UP#13.5.3.9.3.2,Cell 3 Datahall
"3,193,427",MDC1-UP#13.5.3.9.3.3,Cell 2 Datahall
"3,193,434",MDC1-UP#13.5.3.9.3.4,Cell 4 Datahall
"3,193,441",MDC1-UP#13.5.3.9.3.5,Cell 1 Mechanical Corridor
"3,193,449",MDC1-UP#13.5.3.9.3.6,Cell 3 Mechanical Corridor
"3,193,457",MDC1-UP#13.5.3.9.3.7,Cell 2 Mechanical Corridor
"3,193,465",MDC1-UP#13.5.3.9.3.8,Cell 4 Mechanical Corridor
"3,193,474",MDC1-UP#13.5.3.9.4.1,Exterior Equipment Cell 1
"3,193,500",MDC1-UP#13.5.3.9.4.2,Exterior Equipment Cell 3
"3,193,526",MDC1-UP#13.5.3.9.4.3,Exterior Equipment Cell 2
"3,193,552",MDC1-UP#13.5.3.9.4.4,Exterior Equipment Cell 4
"3,193,573",MDC1-UP#13.5.3.9.4.5,Mechanical Corridor Cell  1
"3,193,587",MDC1-UP#13.5.3.9.4.6,Mechanical Corridor Cell  3
"3,193,600",MDC1-UP#13.5.3.9.4.7,Mechanical Corridor Cell  2
"3,193,613",MDC1-UP#13.5.3.9.4.8,Mechanical passageway Cell  4
"3,193,626",MDC1-UP#13.5.3.9.4.9,Data Hall Cell 1
"3,193,643",MDC1-UP#13.5.3.9.4.10,Data Hall Cell 3
"3,193,660",MDC1-UP#13.5.3.9.4.11,Data Hall Cell 2
"3,193,677",MDC1-UP#13.5.3.9.4.13,Data Hall Cell 4
"3,194,348",MDC1-UP#13.5.2.2.6.1,Cell 1
"3,194,360",MDC1-UP#13.5.2.2.6.2,Cell 3
"3,194,372",MDC1-UP#13.5.2.2.6.3,Cell 2
"3,194,384",MDC1-UP#13.5.2.2.6.4,Cell 4
"3,193,696",MDC1-UP#13.5.3.8.3.1,Cell 1 Datahall
"3,193,703",MDC1-UP#13.5.3.8.3.2,Cell 3 Datahall
"3,193,710",MDC1-UP#13.5.3.8.3.3,Cell 2 Datahall
"3,193,717",MDC1-UP#13.5.3.8.3.4,Cell 4 Datahall
"3,193,724",MDC1-UP#13.5.3.8.3.5,Cell 1 Mechanical Corridor
"3,193,732",MDC1-UP#13.5.3.8.3.6,Cell 3 Mechanical Corridor
"3,193,740",MDC1-UP#13.5.3.8.3.7,Cell 2  Mechanical passageway
"3,193,748",MDC1-UP#13.5.3.8.3.8,Cell 4 Mechanical passageway
"3,193,757",MDC1-UP#13.5.3.8.4.1,Exterior Equipment Cell 1
"3,193,783",MDC1-UP#13.5.3.8.4.2,Exterior Equipment Cell 3
"3,193,804",MDC1-UP#13.5.3.8.4.3,Exterior Equipment Cell 2
"3,193,830",MDC1-UP#13.5.3.8.4.4,Exterior Equipment Cell 4
"3,193,856",MDC1-UP#13.5.3.8.4.5,Mechanical Corridor Cell  1
"3,193,870",MDC1-UP#13.5.3.8.4.6,Mechanical Corridor Cell  3
"3,193,883",MDC1-UP#13.5.3.8.4.7,Mechanical Corridor Cell  2
"3,193,896",MDC1-UP#13.5.3.8.4.8,Mechanical Corridor Cell  4
"3,193,909",MDC1-UP#13.5.3.8.4.9,Data Hall Cell 1
"3,193,926",MDC1-UP#13.5.3.8.4.10,Data Hall Cell 3
"3,193,943",MDC1-UP#13.5.3.8.4.11,Data Lobby Cell 2
"3,193,960",MDC1-UP#13.5.3.8.4.13,Data Lobby Cell 4
"3,194,413",MDC1-UP#13.5.2.1.7.1,Cell 1
"3,194,425",MDC1-UP#13.5.2.1.7.2,Cell 3
"3,194,437",MDC1-UP#13.5.2.1.7.3,Cell 2
"3,194,449",MDC1-UP#13.5.2.1.7.4,Cell 4
"3,193,979",MDC1-UP#13.5.3.6.3.1,Cell 1 Datahall
"3,193,986",MDC1-UP#13.5.3.6.3.2,Cell 3 Datahall
"3,193,993",MDC1-UP#13.5.3.6.3.3,Cell 2 Datahall
"3,194,000",MDC1-UP#13.5.3.6.3.4,Cell 4 Datahall
"3,194,007",MDC1-UP#13.5.3.6.3.5,Cell 1 Mechanical Corridor
"3,194,015",MDC1-UP#13.5.3.6.3.6,Cell 3 Mechanical Corridor
"3,194,023",MDC1-UP#13.5.3.6.3.7,Cell 2 Mechanical passageway
"3,194,031",MDC1-UP#13.5.3.6.3.8,Cell D4 Mechanical passageway
"3,194,040",MDC1-UP#13.5.3.6.4.1,Exterior Equipment Cell 1
"3,194,066",MDC1-UP#13.5.3.6.4.2,Exterior Equipment Cell 3
"3,194,092",MDC1-UP#13.5.3.6.4.3,Exterior Equipment Cell 2
"3,194,118",MDC1-UP#13.5.3.6.4.4,Exterior Equipment Cell 4
"3,194,144",MDC1-UP#13.5.3.6.4.5,Mechanical Corridor Cell  1
"3,194,158",MDC1-UP#13.5.3.6.4.6,Mechanical Corridor Cell  3
"3,194,171",MDC1-UP#13.5.3.6.4.7,Mechanical Corridor Cell  2
"3,194,184",MDC1-UP#13.5.3.6.4.8,Mechanical Corridor Cell  4
"3,194,197",MDC1-UP#13.5.3.6.4.9,Data Hall Cell 1
"3,194,214",MDC1-UP#13.5.3.6.4.10,Data Hall Cell 3
"3,194,231",MDC1-UP#13.5.3.6.4.11,Data Hall Cell 2
"3,194,248",MDC1-UP#13.5.3.6.4.13,Data Hall Cell 4
"3,194,478",MDC1-UP#13.5.2.12.7.1,Cell 1
"3,194,490",MDC1-UP#13.5.2.12.7.2,Cell 3
"3,194,502",MDC1-UP#13.5.2.12.7.3,Cell 2
"3,194,514",MDC1-UP#13.5.2.12.7.4,Cell 4
"3,193,083",MDC1-UP#13.5.3.2.4.5,Exterior Equipment Admin
"3,191,836",MDC1-UP#13.4.10.3.1.1,COLO-1
"3,191,841",MDC1-UP#13.4.10.3.1.6,COLO 2
"3,191,846",MDC1-UP#13.4.10.3.1.7,COLO 3
"3,191,851",MDC1-UP#13.4.10.3.1.5,COLO 4
"3,191,695",MDC1-UP#13.4.10.2.1.1,COLO-1
"3,191,700",MDC1-UP#13.4.10.2.1.2,COLO-2
"3,191,705",MDC1-UP#13.4.10.2.1.3,COLO-3
"3,191,710",MDC1-UP#13.4.10.2.1.4,COLO-4
"3,191,857",MDC1-UP#13.4.10.3.2.1,COLO-1
"3,191,862",MDC1-UP#13.4.10.3.2.2,COLO-2
"3,191,867",MDC1-UP#13.4.10.3.2.3,COLO-3
"3,191,872",MDC1-UP#13.4.10.3.2.4,COLO-4
"3,191,716",MDC1-UP#13.4.10.2.5.1,COLO-1
"3,191,721",MDC1-UP#13.4.10.2.5.2,COLO-2
